,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-06-22 18:04:52.000000,2023-06-22 17:17:16,22661.0,942.0,194.0,5854.0,1254.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",442.0,34,True,530.0,203.0,859.0,2613.0,2023-06-03 17:51:03,352.0,602.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-06-19 12:29:48.000000,2023-06-19 12:27:37,1533.0,27.0,13.0,1635.0,49.0,Trinsic SDK repository.,41.0,27,False,61.0,33.0,4.0,370.0,2023-04-24 13:26:38,450.0,1671.0,1.0,1.11.0,7902.0,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/ssi-sdk,https://github.com/Sphereon-Opensource/ssi-sdk,Apache-2.0,2021-04-12 14:54:14,2023-06-22 09:05:32.000000,2023-06-21 19:17:49,3881.0,38.0,27.0,442.0,169.0,Self Sovereign Identity SDK.,51.0,26,True,923.0,61.0,13.0,39.0,2023-06-21 19:17:05,109.0,6.0,2.0,0.12.0,,10.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-06-20 14:36:59.618041,2023-06-20 14:31:53,2869.0,70.0,12.0,377.0,151.0,Use web3 identity / self-sovereign identity (SSI).,57.0,24,True,323.0,138.0,19.0,265.0,2023-06-20 14:37:02,,592.0,2.0,1.2306201406.0,50.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-06-20 14:14:19.440449,6179.0,1.0,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-06-21 15:10:29.000000,2023-06-21 13:51:20,1019.0,408.0,620.0,218.0,8591.0,Solid - Re-decentralizing the web (project directory).,41.0,21,True,29.0,1.0,314.0,209.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,
5,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-06-22 17:18:48.000000,2023-06-21 11:48:32,1326.0,33.0,12.0,414.0,73.0,Self Hosted Issuer Node.,24.0,21,False,591.0,12.0,13.0,81.0,2023-05-23 16:53:24,14.0,,2.0,.2.1.0,,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-06-22 00:19:26.000000,2023-06-15 07:30:51,1010.0,112.0,75.0,638.0,394.0,A cross-platform toolkit for decentralized identity.,51.0,20,True,16.0,,123.0,195.0,,145.0,,2.0,,,40.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-06-20 11:44:30.000000,2023-04-11 16:19:31,6279.0,56.0,96.0,198.0,96.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,18,False,15.0,100.0,3.0,,2021-03-22 11:09:10,41.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-06-22 16:46:21.000000,2023-06-22 16:46:17,7030.0,11.0,7.0,493.0,30.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,18,False,340.0,1.0,75.0,1476.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-06-22 12:50:38.000000,2023-06-22 12:50:36,2327.0,2040.0,96.0,1834.0,17254.0,Authentication for the Web.,535.0,41,True,134.0,100.0,151.0,3030.0,2023-06-21 07:57:53,98857.0,2116900.0,1.0,@auth/sequelize-adapter@1.0.1,,98857.0,,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2116900.0,,,,,,,,,,
