,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,trending,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,npm_id,npm_url,npm_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-06-29 18:00:58.000000,2023-06-29 16:27:14,22693.0,941.0,194.0,5869.0,1257.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",442.0,34,True,491.0,206.0,865.0,2616.0,2023-06-29 16:36:31,354.0,618.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-06-28 18:30:51.000000,2023-06-19 12:27:37,1533.0,26.0,13.0,1636.0,49.0,Trinsic SDK repository.,41.0,27,False,61.0,33.0,4.0,370.0,2023-04-24 13:26:38,455.0,1681.0,1.0,1.11.0,7949.0,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/SSI-SDK,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-04-12 14:54:14,2023-06-29 14:40:32.000000,2023-06-29 10:40:10,3927.0,38.0,29.0,452.0,173.0,Self Sovereign Identity SDK.,55.0,26,True,887.0,63.0,13.0,39.0,2023-06-24 17:47:53,114.0,6.0,2.0,0.13.0,,11.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-06-29 16:56:55.416195,2023-06-29 16:49:55,2882.0,71.0,12.0,381.0,151.0,Use web3 identity / self-sovereign identity (SSI).,57.0,24,True,299.0,141.0,20.0,266.0,2023-06-29 16:43:29,,695.0,2.0,1.2306281832.0,51.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-06-28 18:43:04.840338,6494.0,,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-06-29 13:58:04.000000,2023-06-25 22:01:55,1020.0,408.0,621.0,219.0,8593.0,Solid - Re-decentralizing the web (project directory).,41.0,21,True,26.0,1.0,315.0,209.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,
5,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-06-29 16:45:32.000000,2023-06-29 10:42:40,1341.0,34.0,12.0,424.0,76.0,Self Hosted Issuer Node.,24.0,21,False,553.0,13.0,12.0,83.0,2023-06-29 10:52:16,15.0,,2.0,.2.1.0,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-06-29 00:21:14.000000,2023-06-28 17:03:02,1012.0,111.0,75.0,640.0,396.0,A cross-platform toolkit for decentralized identity.,51.0,20,True,18.0,,124.0,195.0,,145.0,,2.0,,,40.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
7,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-06-29 11:05:56.000000,2023-06-28 13:47:00,7034.0,12.0,7.0,494.0,30.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,18,False,310.0,1.0,73.0,1483.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
8,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-06-29 13:26:03.000000,2023-04-11 16:19:31,6279.0,56.0,96.0,198.0,96.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,16,False,2.0,100.0,3.0,,2021-03-22 11:09:10,41.0,10.0,3.0,,,,,,,,,-2.0,,,,,,,,,,,,,
9,keycloak,keycloak/keycloak,,,idp,['cncf'],https://github.com/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-06-29 16:59:04.000000,2023-06-29 16:44:15,22262.0,5334.0,362.0,11831.0,16613.0,Open Source Identity and Access Management For Modern Applications and Services.,1193.0,41,True,642.0,37.0,1637.0,4935.0,2023-06-28 06:39:51,326.0,61694.0,1.0,21.1.2,1850832.0,326.0,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,,,
10,coredns,coredns/coredns,,,machine,"['linux-foundation', 'cncf']",https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-06-26 20:55:39.000000,2023-06-26 13:42:03,3676.0,1831.0,236.0,3907.0,10940.0,CoreDNS is a DNS server that chains plugins.,360.0,41,True,77.0,65.0,85.0,2059.0,2023-02-06 18:30:04,5157.0,2825005.0,1.0,1.10.1,6719660.0,5157.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-02-06 18:31:58.105381,238558108.0,,,138.0,,,,,,,,,,,,
11,open-policy-agent,open-policy-agent/opa,,,authorization,"['cncf', 'linux-foundation']",https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-06-29 17:45:35.000000,2023-06-29 17:35:35,4673.0,1124.0,120.0,3751.0,8183.0,"An open source, general-purpose policy engine.",402.0,40,True,143.0,100.0,305.0,1987.0,2023-06-06 07:27:14,2570.0,4435639.0,1.0,0.53.1,3320462.0,2570.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2023-06-29 15:14:49.174256,393347943.0,,,32.0,,,,,,,,,,,,
12,cert-manager,cert-manager/cert-manager,,,pki,['linux-foundation'],https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-06-29 16:50:40.000000,2023-06-29 16:10:43,7880.0,1829.0,146.0,2960.0,10490.0,Automatically provision and manage TLS certificates in Kubernetes.,401.0,39,True,308.0,100.0,185.0,2848.0,2023-06-20 11:39:00,510.0,1372235.0,1.0,1.11.4,48028256.0,510.0,,,,,,,,,,,,,,,,,,,
13,oauthlib,oauthlib/oauthlib,,,authentication,,https://github.com/oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-06-13 03:01:15.000000,2023-06-13 03:01:14,1646.0,455.0,68.0,481.0,2601.0,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",192.0,39,True,1.0,48.0,75.0,289.0,2023-01-10 13:13:43,392925.0,80614483.0,1.0,3.2.2,,392925.0,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,80614483.0,,,,,,,,,
14,vault,hashicorp/vault,,,pki,['hashicorp'],https://github.com/hashicorp/vault,https://github.com/hashicorp/vault,MPL-2.0,2015-02-25 00:15:59,2023-06-29 18:06:08.000000,2023-06-29 16:23:52,17599.0,3689.0,820.0,15852.0,27942.0,"A tool for secrets management, encryption as a service, and privileged access management.",1351.0,38,True,600.0,98.0,890.0,4654.0,2023-06-20 22:56:17,6268.0,,2.0,1.14.0,,6268.0,,,,,,,,,,,,,,,,,,,
15,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-06-29 16:03:23.000000,2023-06-27 15:22:02,2330.0,2047.0,96.0,1837.0,17368.0,Authentication for the Web.,536.0,38,True,121.0,100.0,157.0,3045.0,2023-06-27 15:22:08,1534.0,2161551.0,1.0,@auth/typeorm-adapter@1.0.1,,1534.0,,,,,,-3.0,,,,,next-auth,https://www.npmjs.com/package/next-auth,2161551.0,,,,,,
16,passport,jaredhanson/passport,,,authentication,,https://github.com/jaredhanson/passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-06-15 06:35:28.000000,2023-03-10 17:27:55,617.0,1170.0,316.0,152.0,21577.0,"Simple, unobtrusive authentication for Node.js.",38.0,37,True,,,326.0,420.0,,867198.0,8805323.0,2.0,,,867198.0,,,,,,,,,,,passport,https://www.npmjs.com/package/passport,8805323.0,,,,,,
17,ory-hydra,ory/hydra,,,authentication,['ory'],https://github.com/ory/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-06-29 04:51:17.000000,2023-06-29 04:51:16,3642.0,1292.0,227.0,1676.0,14235.0,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",286.0,36,True,74.0,100.0,62.0,1377.0,2023-05-24 08:55:23,2.0,4157668.0,2.0,2.1.2,580518.0,2.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2023-06-22 12:03:24.362033,402400112.0,,,74.0,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
18,ory-kratos,ory/kratos,,,idp,['ory'],https://github.com/ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-06-29 15:11:36.000000,2023-06-29 15:11:34,3824.0,757.0,111.0,1606.0,8902.0,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, MFA, FIDO2, TOTP, WebAuthn,..",203.0,36,True,103.0,42.0,226.0,890.0,2023-04-18 17:07:18,322.0,1821750.0,1.0,0.13.0,30622.0,322.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2023-04-18 17:07:17.440071,111081264.0,,,16.0,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
19,ageitgey-face-recognition,ageitgey/face_recognition,,,face,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-05-23 09:52:12.000000,2022-06-10 09:12:18,238.0,12677.0,1573.0,217.0,48674.0,The worlds simplest facial recognition api for Python and the command line.,54.0,35,True,,2.0,700.0,581.0,2018-04-02 17:18:43,1319.0,65915.0,1.0,1.2.2,1105.0,1319.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,6546.0,,5.0,16.0,face_recognition,https://pypi.org/project/face_recognition,65814.0,,,,,,,,,
20,casbin,casbin/casbin,,,authorization,,https://github.com/casbin/casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-06-20 16:04:02.000000,2023-06-17 14:31:53,1060.0,1494.0,233.0,458.0,15168.0,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang.",132.0,35,True,12.0,100.0,19.0,708.0,2023-06-17 14:33:13,2454.0,227625.0,2.0,2.71.1,,2454.0,,,,,,,,casbin,https://pypi.org/project/casbin,69592.0,casbin,https://www.npmjs.com/package/casbin,158033.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,
21,speechbrain,speechbrain/speechbrain,,,voice,,https://github.com/speechbrain/speechbrain,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2023-06-28 21:34:44.000000,2023-06-28 21:34:43,8222.0,1086.0,125.0,920.0,6199.0,A PyTorch-based Speech Toolkit.,208.0,35,True,155.0,8.0,114.0,797.0,2023-03-24 17:40:58,797.0,111687.0,1.0,0.5.14,,797.0,,,,,,-1.0,,speechbrain,https://pypi.org/project/speechbrain,111687.0,,,,,,,,,
22,casl,stalniy/casl,,,authorization,,https://github.com/stalniy/casl,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-06-26 01:11:25.000000,2023-06-20 18:30:40,1477.0,244.0,40.0,317.0,4950.0,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,66.0,35,True,41.0,100.0,5.0,413.0,2023-05-05 18:06:03,47042.0,1763228.0,2.0,@casl/mongoose@7.1.3,,47042.0,,,,,,-1.0,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,1763228.0,,,,,,
23,insightface,deepinsight/insightface,,,face,,https://github.com/deepinsight/insightface,https://github.com/deepinsight/insightface,MIT,2017-09-01 00:36:51,2023-06-25 15:19:04.000000,2023-06-10 16:42:09,2251.0,4410.0,479.0,142.0,16349.0,State-of-the-art 2D and 3D Face Analysis Project.,54.0,34,True,57.0,1.0,890.0,1316.0,2023-04-02 07:43:27,437.0,56520.0,2.0,0.7,113038.0,437.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,137.0,,,,,,,,,,,,,,,
24,paddlespeech,PaddlePaddle/PaddleSpeech,,,voice,,https://github.com/PaddlePaddle/PaddleSpeech,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2023-06-28 12:31:30.000000,2023-06-28 08:26:08,4713.0,1526.0,182.0,1665.0,7872.0,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",124.0,34,True,111.0,15.0,231.0,1285.0,2023-04-14 09:36:52,62.0,125613.0,3.0,r1.4.1,,62.0,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,125613.0,,,,,,,,,
25,face-api-js,justadudewhohacks/face-api.js,,,face,,https://github.com/justadudewhohacks/face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2023-01-05 16:14:12.000000,2020-04-22 16:40:10,488.0,3432.0,335.0,106.0,15185.0,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,25.0,33,False,,38.0,410.0,387.0,2020-03-22 14:01:55,6732.0,119913.0,2.0,0.22.2,,6732.0,,,,,,,,,,,face-api.js,https://www.npmjs.com/package/face-api.js,119913.0,,,,,,
26,pomerium,pomerium/pomerium,,,machine,,https://github.com/pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-06-28 19:23:07.405098,2023-06-28 18:02:06,2948.0,273.0,35.0,3392.0,3592.0,Pomerium is an identity and context-aware access proxy.,89.0,33,True,148.0,100.0,77.0,800.0,2023-05-26 21:06:13,12.0,8296804.0,2.0,0.21.4,44299.0,12.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2023-06-28 19:23:07.405098,439677340.0,,,10.0,,,,,,,,,,,,
27,ockam,build-trust/ockam,,,machine,,https://github.com/build-trust/ockam,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-06-29 17:46:11.000000,2023-06-29 15:56:41,5941.0,365.0,59.0,3889.0,3339.0,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",195.0,32,True,801.0,100.0,181.0,980.0,2023-06-27 03:16:37,179.0,12408.0,2.0,ockam_v0.90.0,235761.0,179.0,,,,,,,,,,,,,,,,,build-trust/ockam/ockam,,
28,cas,apereo/cas,,,idp,,https://github.com/apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-06-29 17:06:47.000000,2023-06-29 16:59:26,23301.0,3780.0,606.0,4354.0,10335.0,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,338.0,31,True,389.0,100.0,,,2023-05-26 05:00:15,,5778.0,2.0,6.6.8,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2023-06-21 01:30:16.014701,814835.0,,,125.0,,,,,,,,,,,,
29,boundary,hashicorp/boundary,,,machine,['hashicorp'],https://github.com/hashicorp/boundary,https://github.com/hashicorp/boundary,MPL-2.0,2020-01-08 18:24:07,2023-06-29 15:53:03.000000,2023-06-29 15:21:41,3228.0,226.0,75.0,3072.0,3635.0,Boundary enables identity-based access management for dynamic infrastructure.,131.0,31,True,382.0,44.0,68.0,230.0,2023-06-12 23:09:58,8.0,184382.0,2.0,0.13.0,,8.0,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2023-06-12 23:15:35.268469,7559675.0,,,10.0,,,,,,,,,,,,
30,spicedb,authzed/spicedb,,,authorization,,https://github.com/authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-06-29 17:26:03.000000,2023-06-29 12:24:40,2932.0,186.0,33.0,1050.0,3612.0,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",28.0,31,True,342.0,39.0,98.0,257.0,2023-06-21 19:49:33,24.0,22696.0,2.0,1.22.2,17006.0,24.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2023-06-21 19:46:54.665799,481517.0,,,4.0,,,,,,,,,,,,
31,node-oidc-provider,panva/node-oidc-provider,,,authentication,,https://github.com/panva/node-oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-06-29 07:38:06.000000,2023-06-29 07:38:05,2397.0,711.0,71.0,219.0,2718.0,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,64.0,31,True,30.0,100.0,,,2023-05-30 16:30:27,1011.0,132819.0,2.0,8.2.2,,1011.0,,,,,,,,,,,oidc-provider,https://www.npmjs.com/package/oidc-provider,132819.0,,,,,,
32,spire,spiffe/spire,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spire,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-06-29 17:35:47.000000,2023-06-29 17:35:39,6049.0,375.0,83.0,3059.0,1439.0,The SPIFFE Runtime Environment.,157.0,31,True,162.0,81.0,170.0,1071.0,2023-06-14 21:09:11,114.0,1990.0,2.0,1.7.0,135321.0,114.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,,
33,dex,dexidp/dex,,,authentication,['linux-foundation'],https://github.com/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-06-29 04:14:49.000000,2023-06-26 06:18:34,2519.0,1423.0,177.0,1784.0,8223.0,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,218.0,30,True,142.0,79.0,285.0,775.0,2023-03-20 13:29:42,15.0,3.0,3.0,2.36.0,281.0,15.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,,
34,deepface,serengil/deepface,,,face,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-06-29 08:10:18.000000,2023-06-29 08:10:17,1052.0,1365.0,105.0,78.0,6723.0,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",41.0,30,True,56.0,,8.0,704.0,,1590.0,51014.0,2.0,,,1590.0,,,,,,,,deepface,https://pypi.org/project/deepface,51014.0,,,,,,,,,
35,faceswap,deepfakes/faceswap,,,face,,https://github.com/deepfakes/faceswap,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-06-28 18:17:57.000000,2023-06-28 18:17:43,1748.0,12291.0,1517.0,506.0,46124.0,Deepfakes Software For All.,97.0,29,True,26.0,4.0,21.0,787.0,2023-06-18 18:08:19,,300.0,3.0,2.2.0,15638.0,,,,,,,,,,,,,,,,,,,,
36,doorkeeper,doorkeeper-gem/doorkeeper,,,authentication,,https://github.com/doorkeeper-gem/doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-06-22 07:30:13.000000,2023-06-22 07:30:12,2361.0,999.0,107.0,812.0,5166.0,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,309.0,29,True,9.0,62.0,20.0,825.0,2023-03-29 07:20:04,7887.0,,3.0,5.6.6,,7887.0,,,,,,-1.0,,,,,,,,,,,,doorkeeper,
37,oathkeeper,ory/oathkeeper,,,machine,['ory'],https://github.com/ory/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-06-29 09:52:55.000000,2023-06-26 12:39:03,1322.0,309.0,48.0,703.0,2994.0,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",109.0,29,True,29.0,100.0,48.0,268.0,2023-04-26 17:01:50,2.0,1226702.0,3.0,0.40.3,25078.0,2.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2023-04-26 17:01:50.032478,84617050.0,,,27.0,,,,,,,,,,,,
38,identity-server,duendesoftware/identityserver,,,authentication,,https://github.com/DuendeSoftware/IdentityServer,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2023-06-29 18:15:29.000000,2023-06-21 15:10:38,4837.0,233.0,39.0,640.0,1069.0,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,290.0,29,True,199.0,42.0,62.0,214.0,2023-05-31 23:38:47,1128.0,,3.0,6.3.2,,1128.0,,,,,,,,,,,,,,,,,,,
39,did-jwt,decentralized-identity/did-jwt,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-06-26 23:04:04.000000,2023-06-26 23:04:02,579.0,62.0,39.0,202.0,296.0,Create and verify DID verifiable JWTs in Javascript.,40.0,29,True,17.0,99.0,8.0,75.0,2023-06-26 23:04:51,3517.0,104029.0,1.0,7.2.4,,3517.0,,,,,,,,,,,did-jwt,https://www.npmjs.com/package/did-jwt,104029.0,,,,,,
40,authelia,authelia/authelia,,,idp,,https://github.com/authelia/authelia,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-06-29 15:31:31.000000,2023-06-29 15:31:30,4447.0,908.0,156.0,4249.0,16724.0,The Single Sign-On Multi-Factor portal for web apps.,126.0,28,True,372.0,100.0,68.0,1040.0,2022-12-21 09:01:04,2.0,585.0,2.0,4.37.5,23990.0,2.0,,,,,,,,,,,,,,,,,,,
41,openface,cmusatyalab/openface,,,face,,https://github.com/cmusatyalab/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-06-14 17:20:44.000000,2023-06-14 17:20:41,735.0,3471.0,763.0,73.0,14792.0,Face recognition with deep neural networks.,30.0,28,True,1.0,4.0,9.0,370.0,2016-02-25 17:42:46,66.0,1718.0,3.0,0.2.1,,66.0,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,159799.0,,,70.0,,,,,,,,,,,,
42,casdoor,casdoor/casdoor,,,idp,,https://github.com/casdoor/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-06-29 18:04:50.000000,2023-06-29 18:04:44,1737.0,754.0,53.0,1101.0,6541.0,An open-source Identity and Access Management (IAM) / Single-Sign-On (SSO) platform powered by Casbin and AI gateway..,133.0,28,True,252.0,100.0,100.0,763.0,2023-06-29 17:01:48,1.0,1852.0,2.0,1.352.0,,1.0,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2023-06-27 20:04:58.408771,59292.0,,,8.0,,,,,,,,,,,,
43,logto,logto-io/logto,,,idp,,https://github.com/logto-io/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2023-06-29 16:44:47.000000,2023-06-29 06:06:14,4370.0,216.0,34.0,3802.0,5960.0,"Logto is a modern Auth0 alternative for building identity infrastructure with minimal effort, for both your customers..",37.0,28,True,423.0,44.0,52.0,206.0,2023-06-28 14:19:23,6.0,637.0,2.0,1.6.0,2052.0,6.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2023-06-29 06:24:06.185488,11789.0,,,1.0,,,,,,,,,,,,
44,boulder,letsencrypt/boulder,,,pki,['linux-foundation'],https://github.com/letsencrypt/boulder,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-06-28 21:55:04.000000,2023-06-28 18:58:51,6226.0,527.0,138.0,4132.0,4668.0,"An ACME-based certificate authority, written in Go.",125.0,28,True,106.0,73.0,190.0,2629.0,2023-06-26 22:38:29,,22464.0,2.0,release-2023-06-26,53740.0,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-06-21 19:03:21.734946,1926007.0,,,12.0,,,,,,,,,,,,
45,zitadel,zitadel/zitadel,,,idp,,https://github.com/zitadel/zitadel,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-06-29 16:44:56.000000,2023-06-29 13:04:14,2266.0,198.0,25.0,4268.0,3867.0,ZITADEL - The best of Auth0 and Keycloak combined. Built for the serverless era.,55.0,28,True,210.0,100.0,369.0,1154.0,2023-06-27 20:09:04,1.0,486.0,2.0,2.30.0,1947.0,1.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,,https://charts.zitadel.com,,,,,
46,oso,osohq/oso,,,authorization,,https://github.com/osohq/oso,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-05-05 21:07:42.000000,2023-05-04 20:09:28,1191.0,149.0,31.0,1503.0,3116.0,Oso is a batteries-included framework for building authorization in your application.,62.0,28,True,7.0,100.0,101.0,99.0,2023-04-03 23:25:23,70.0,42447.0,3.0,0.27.0,2440.0,70.0,,,,,,,,oso,https://pypi.org/project/oso,42360.0,,,,,,,,,
47,node-solid-server,nodesolidserver/node-solid-server,,,decentralized,['solid'],https://github.com/nodeSolidServer/node-solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2023-04-17 21:26:30.000000,2023-04-06 13:30:49,2951.0,284.0,81.0,828.0,1742.0,Solid server on top of the file-system in NodeJS.,85.0,28,True,5.0,51.0,278.0,610.0,2023-03-17 17:09:04,38.0,9283.0,1.0,5.7.7,,38.0,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-04-06 13:43:13.183129,877254.0,,,4.0,,,,solid-server,https://www.npmjs.com/package/solid-server,929.0,,,,,,
48,did-resolver,decentralized-identity/did-resolver,,,decentralized,['dif'],https://github.com/decentralized-identity/did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2023-06-29 02:46:36.000000,2023-03-08 14:05:28,373.0,42.0,24.0,123.0,184.0,Universal did-resolver for javascript environments.,24.0,28,True,,24.0,3.0,18.0,2023-03-08 14:05:37,4238.0,134749.0,1.0,4.1.0,,4238.0,,,,,,,,,,,did-resolver,https://www.npmjs.com/package/did-resolver,134749.0,,,,,,
