,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,trending,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-08-31 17:50:38.000000,2023-08-31 17:50:38,23298.0,970.0,189.0,6139.0,1296.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",452.0,33,True,726.0,218.0,910.0,2731.0,2023-08-29 15:46:20,50.0,632.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-08-28 17:52:06.000000,2023-08-24 22:21:02,1571.0,26.0,14.0,1684.0,52.0,Trinsic SDK repository.,41.0,27,False,51.0,33.0,7.0,373.0,2023-04-24 13:26:38,501.0,1632.0,1.0,1.11.0,8456.0,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/SSI-SDK,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-04-12 14:54:14,2023-08-31 17:58:29.000000,2023-08-29 20:49:13,4141.0,46.0,34.0,469.0,192.0,Self Sovereign Identity SDK.,57.0,25,True,406.0,69.0,14.0,45.0,2023-08-19 18:17:47,57.0,6.0,2.0,0.15.1,,1.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-08-31 15:46:11.000000,2023-08-31 15:45:44,3290.0,63.0,13.0,333.0,142.0,All-In-One SSI infrastructure toolkit.,47.0,24,True,199.0,162.0,15.0,231.0,2023-08-31 15:54:17,,4711.0,2.0,1.2308302143.0,57.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-08-30 21:53:15.431567,8774.0,,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-08-30 18:07:09.000000,2023-08-28 16:05:01,1055.0,408.0,614.0,235.0,8602.0,Solid - Re-decentralizing the web (project directory).,41.0,21,True,41.0,1.0,318.0,212.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,
5,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-08-31 17:43:43.000000,2023-08-18 06:47:50,1541.0,52.0,12.0,494.0,85.0,Self Hosted Issuer Node.,29.0,21,False,185.0,25.0,19.0,95.0,2023-08-18 07:20:22,39.0,,2.0,2.2.0,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-08-31 00:16:28.000000,2023-07-14 13:35:29,1015.0,114.0,77.0,650.0,405.0,A cross-platform toolkit for decentralized identity.,51.0,19,True,8.0,,127.0,197.0,,114.0,,3.0,,,4.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-08-08 10:21:22.000000,2023-04-11 16:19:31,6279.0,55.0,99.0,201.0,96.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,17,False,,100.0,3.0,,2021-03-22 11:09:10,41.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-08-31 17:10:45.000000,2023-08-31 17:10:45,7197.0,12.0,8.0,501.0,33.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,17,False,202.0,1.0,69.0,1622.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-08-31 17:31:56.000000,2023-08-31 13:35:40,2432.0,2198.0,97.0,1938.0,18418.0,Authentication for the Web.,559.0,41,True,141.0,100.0,198.0,3269.0,2023-08-16 07:48:21,127745.0,2472819.0,1.0,next-auth@4.23.1,,127745.0,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2472819.0,,,,,,,,,,,
