,name,homepage,category,description,resource,labels,projectrank,show,github_id,pypi_id,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,updated_at,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,license,maven_id,maven_url,gem_url,helm_id,brew_id,github,apt_id,github-id
0,weboftrust,https://github.com/WebOfTrust,groups,Standards Relating to a Web Of Trust Based on Autonomic Identifier Systems.,True,['weboftrust'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ietf,https://github.com/ietf,groups,Internet Engineering Task Force.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,identity-foundation,https://identity.foundation/,groups,"Developing the foundational components of an open, standards-based, decentralized identity ecosystem for people,..",True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,solidproject,https://github.com/solid,groups,Re-decentralizing the web.,True,['solid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,w3c,https://github.com/w3c,groups,We are an international community that develops open standards to ensure the long-term growth of the Web.,True,['w3c'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,openid,https://github.com/openid,groups,The OpenID Foundation.,True,['openid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,trustoverip,https://github.com/trustoverip,groups,Trust over IP Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,openwallet-foundation,https://github.com/openwallet-foundation,groups,OpenWallet Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,kantara,https://github.com/KantaraInitiative,groups,Kantara Initiative.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,fido alliance,https://github.com/fido-alliance,groups,FIDO Alliance.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,mosip,https://github.com/mosip,groups,Modular Open Source Identity Platform.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,oauthlib,{},authentication,,,,20,False,oauthlib/oauthlib,oauthlib,654006.0,654006.0,205.0,https://pypi.org/project/oauthlib,336527909.0,336527909.0,1.0,,,,,,,,,,,,,,,,,,,,
12,nextauthjs,{},authentication,,,,18,False,nextauthjs/next-auth,,484698.0,484698.0,905.0,,,22729122.0,1.0,next-auth,https://www.npmjs.com/package/next-auth,22729122.0,,,,,,,,,,,,,,,,,
13,authlib,{},authentication,,,,16,False,lepture/authlib,authlib,56205.0,56205.0,148.0,https://pypi.org/project/authlib,154269262.0,154269262.0,1.0,,,,8.0,,,,,,,,,,,,,,,,
14,speechbrain,{},biometrics,,,,14,False,speechbrain/speechbrain,speechbrain,4370.0,4370.0,277.0,https://pypi.org/project/speechbrain,1837917.0,1837917.0,1.0,,,,6.0,,,,,,,,,,,,,,,,
15,pysaml2,{},authentication,,,,13,False,IdentityPython/pysaml2,pysaml2,2308.0,2308.0,181.0,https://pypi.org/project/pysaml2,2665508.0,2665508.0,2.0,,,,,,,,,,,,,,,,,,,,
16,deepface,{},biometrics,,,,13,False,serengil/deepface,deepface,8720.0,8720.0,99.0,https://pypi.org/project/deepface,530888.0,530888.0,1.0,,,,6.0,,,,,,,,,,,,,,,,
